individual,day,dive_no,total_N,total_rms,max_depth,dive_dur,Vair,BD,initial_depth,avg_pitch,avg_speed,glide_duration,cvar_pitch,cvar_roll
ml18_292a,17,15,92,1.241511616,378.3,741,20.58823529,1037.229,11.627134,-72.93295307,1.446528357,28,0.001923727,0.264865322
ml18_292a,17,17,163,1.216274497,429.2,782,7.142857143,1037.229,29.141033,-70.31806469,1.773103908,13,0.000117225,0.223731474
ml18_292a,17,2,112,1.204848861,391,921,13.44537815,1037.229,12.453853,-65.28485792,1.694117164,25,0.000631127,0.378424417
ml18_292a,17,20,170,1.357760133,385.1,769,19.32773109,1037.229,27.135586,-68.44035936,1.892974521,14,0.000554534,0.481565939
ml18_292a,17,25,196,1.297812169,516.1,947,21.8487395,1037.229,25.917135,-76.15437773,1.709562853,15,0.000561956,0.000859649
ml18_292a,17,27,205,1.378664506,481.3,1047,16.38655462,1037.229,32.573151,-71.18553227,1.811992927,11,2.08E-05,0.285355847
ml18_292a,17,28,106,1.117615416,365.4,827,0,1037.229,25.269583,-64.80811,1.808147531,16,0.003527003,0.402747489
ml18_292a,17,29,96,1.320720756,299.1,862,0,1037.229,26.513227,-57.33749743,2.072978243,14,0.009697281,0.318893594
ml18_292a,17,3,132,1.249131665,383.4,904,0.840336134,1037.229,24.471365,-61.50225124,1.746190235,17,0.001336181,0.182641557
ml18_292a,17,37,216,1.107608862,464.9,874,28.1512605,1037.229,21.342386,-80.35902363,1.595826863,19,9.10E-05,0.141644312
ml18_292a,17,38,212,1.213743009,549.3,1130,21.42857143,1037.229,30.90206,-74.42514925,1.8061573,12,1.45E-05,0.217917288
ml18_292a,17,4,152,1.053141458,421.4,967,18.06722689,1037.229,13.075414,-65.69811158,1.645692484,19,0.000721404,0.310640926
ml18_292a,17,41,334,1.262114474,547.4,1096,31.09243697,1037.229,27.865948,-78.0119364,1.612072027,15,2.66E-05,0.056740145
ml18_292a,17,43,107,1.271491582,575.9,1183,9.663865546,1037.229,31.916595,-70.01567764,1.762082091,11,0.000436007,0.374985743
ml18_292a,17,44,239,1.145388154,568.8,1203,25.21008403,1037.229,29.636217,-67.86219192,1.705571638,13,1.39E-05,0.414052141
ml18_292a,17,46,237,1.103016686,582.5,1303,21.00840336,1037.229,31.67864,-68.53754273,1.744256709,11,0.001679283,0.640167337
ml18_292a,17,5,130,1.243007797,388.7,938,7.983193277,1037.229,24.125256,-55.60872082,1.849454706,17,0.000168906,0.01261003
ml18_292a,17,69,116,1.199692284,136,967,0,1037.229,29.206188,-59.44954183,2.159957108,12,0.002649445,0.177556698
ml18_292a,17,7,94,1.172902759,402.6,893,0,1037.229,24.525028,-54.23588971,1.901898724,17,0.000389975,0.004397695
ml18_292a,17,73,121,1.34821079,305.3,987,14.28571429,1037.229,13.007141,-48.84322927,1.69667053,30,0.000767194,0.013964204
ml18_292a,17,8,115,1.18525679,377.6,925,11.76470588,1037.229,11.629909,-56.02660771,1.715586696,28,0.000710909,0.028577217
ml18_292a,17,9,115,1.146323198,343.3,913,0,1037.229,23.450901,-47.90289783,1.997551922,18,0.000323436,0.010044329
ml18_292a,2,12,94,0.939469682,163.8,805,11.34453782,1037.112,10.793374,-63.83824027,1.689843413,15,0.023098818,0.499913609
ml18_292a,2,14,93,1.210724504,425.3,1071,0,1037.112,11.158588,-37.63993616,2.080030013,31,0.000274358,0.009114964
ml18_292a,2,15,141,1.413216666,433.5,817,15.54621849,1037.112,22.849758,-75.22988947,1.716679976,17,9.87E-05,0.081812713
ml18_292a,2,16,91,1.422844862,196.1,843,0,1037.112,21.731539,-41.15217555,2.036488077,22,0.004020217,0.069511141
ml18_292a,2,17,103,1.162144296,177.8,799,0,1037.112,18.373241,-44.15098338,1.980788208,24,0.002742898,0.013044797
ml18_292a,2,18,125,1.261454702,195.7,894,0,1037.112,29.153368,-50.36101736,1.9896532,14,0.006386993,NA
ml18_292a,2,19,175,1.325528608,418.4,953,0,1037.112,25.8519,-50.78059535,1.883379441,17,0.001521112,0.116413839
ml18_292a,2,20,251,1.227446505,418.9,933,0,1037.112,30.535894,-57.02194392,1.812904215,13,0.002751576,0.137240779
ml18_292a,2,28,189,1.532064231,588,1182,25.6302521,1037.112,26.348467,-66.54700367,1.657802827,15,0.004007502,0.676765548
ml18_292a,2,3,91,1.238928643,182.5,861,21.8487395,1037.112,9.4213896,-61.2349396,1.70765088,10,0.007044648,0.233277907
ml18_292a,2,33,255,1.361059064,530.7,1165,24.78991597,1037.112,31.418447,-61.48251692,1.792179825,12,0.00037623,0.26364622
ml18_292a,2,35,318,1.258716327,463.4,1136,27.31092437,1037.112,33.52047,-67.25258909,1.690471436,11,0.001061637,NA
ml18_292a,2,40,295,1.278660289,519.4,1047,24.3697479,1037.112,33.024323,-62.39030527,1.788679782,11,0.000598923,0.18321419
ml18_292a,2,46,185,1.020869575,270.5,1047,17.64705882,1037.112,23.362381,-60.49790068,1.704715789,19,0.000614028,0.441377271
ml18_292a,2,47,191,1.094670877,237.2,1009,14.70588235,1037.112,26.891687,-59.36142831,1.7930084,16,0.00162152,0.457810908
ml18_292a,2,48,156,1.296667396,498.9,1204,22.68907563,1037.112,28.413116,-70.18484823,1.822854354,13,0.007443915,0.340229614
ml18_292a,2,50,286,1.264070576,775.4,1249,24.3697479,1037.112,33.747444,-63.6701357,1.81362505,10,0.002336943,0.427751602
ml18_292a,2,56,261,1.195767436,452.6,1059,19.32773109,1037.112,30.880703,-65.76590183,1.780682075,12,0.000726616,0.746325793
ml18_292a,2,65,134,1.389617779,194.9,690,7.142857143,1037.112,24.127169,-66.45194691,1.996105282,11,0.004607668,0.846872403
ml18_292a,2,66,99,1.397145861,155.8,686,0,1037.112,21.705622,-60.69193629,1.977025729,17,0.001919755,0.61312527
